Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Url,SerializedViewModel,Mean,Error,StdDev,Median,Min,Op/s,ETW log file,ProcessRequest,WriteHtmlResponse,BuildView,BindableObject.GetValue,Lifecycle events,Deserialize,ResolveCommand,Serialize,Gen 0,Gen 1,Gen 2,Allocated
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,CCicJLu1n7fgWh8v_-377350882,"6,433.6165 us",106.0802 us,99.2275 us,"6,393.4980 us","6,304.1653 us",155.43,-,97.66734%,0%,0.7302231%,8.228533%,25.60514%,10.65585%,3.968898%,8.120351%,-,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,CCicJLu1n7fgWh8v_-73908087,"6,470.3640 us",127.5915 us,136.5215 us,"6,416.7733 us","6,334.8991 us",154.55,-,97.55482%,0%,0.7004873%,8.601636%,25.21754%,10.68134%,4.120257%,8.10999%,15.0670,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,CCicJLu1n7fgWh8v_167682507,"6,514.0209 us",121.4335 us,113.5889 us,"6,471.3434 us","6,388.6204 us",153.52,-,97.34144%,0%,0.6075131%,8.449448%,25.66603%,10.61197%,3.795563%,8.12061%,3.9063,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,CCicJLu1n7fgWh8v_1850803882,"6,405.0349 us",114.2789 us,106.8965 us,"6,357.7901 us","6,264.2705 us",156.13,-,97.72365%,0%,0.7394519%,8.561693%,25.61258%,10.90329%,4.219226%,7.488763%,-,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,CCicJLu1n7fgWh8v_203741164,"6,396.7814 us",92.5426 us,86.5644 us,"6,359.3368 us","6,296.1956 us",156.33,-,97.5211%,0%,0.8811508%,8.742502%,25.8984%,10.54727%,3.93333%,8.540792%,-,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,CCicJLu1n7fgWh8v_331790093,"6,452.9907 us",86.4737 us,80.8875 us,"6,425.7731 us","6,321.0943 us",154.97,-,97.47858%,0%,0.5576208%,8.606756%,24.81009%,11.16858%,4.073057%,8.477452%,-,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,DataPagerGoToFirstPage_-1027125676,"6,458.4914 us",123.7684 us,137.5682 us,"6,398.1296 us","6,323.5746 us",154.83,-,97.63918%,0%,0.7169921%,8.662198%,25.62518%,10.73739%,4.150393%,7.863597%,-,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,DataPagerGoToFirstPage_-1027125676,"6,435.9410 us",125.4437 us,139.4303 us,"6,358.6300 us","6,280.4042 us",155.38,-,97.35275%,0%,0.6121774%,8.140305%,24.909%,10.8951%,4.012243%,8.198213%,-,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,DataPagerGoToLastPage_-36753124,"5,840.4990 us",109.4168 us,102.3485 us,"5,810.9196 us","5,697.9263 us",171.22,-,97.3127%,0%,0.6718258%,7.313547%,23.65847%,11.7442%,4.345608%,8.112935%,-,-,-,1.25 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,DataPagerGoToLastPage_-36753124,"5,811.2599 us",110.3201 us,103.1935 us,"5,780.0565 us","5,694.5829 us",172.08,-,97.49199%,0%,0.7532051%,7.596154%,23.65384%,11.72276%,4.278846%,7.844552%,-,-,-,1.25 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,DataPagerGoToNextPage_174803327,"5,818.2711 us",113.9449 us,121.9197 us,"5,763.0750 us","5,710.3504 us",171.87,-,97.35197%,0%,0.7863431%,7.574434%,23.71127%,11.88252%,4.697896%,7.829827%,-,-,-,1.25 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,DataPagerGoToNextPage_174803327,"5,839.4425 us",113.8443 us,116.9097 us,"5,809.7794 us","5,726.2999 us",171.25,-,97.2207%,0%,0.6145661%,7.319758%,23.26179%,11.86021%,4.769767%,8.392956%,-,-,-,1.25 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,DataPagerGoToPrevPage_-1667764771,"6,502.5018 us",126.8394 us,146.0684 us,"6,460.3241 us","6,342.2847 us",153.79,-,97.41648%,0%,0.6403118%,8.212694%,25.91314%,10.70713%,3.908686%,7.906458%,0.7102,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,DataPagerGoToPrevPage_-1667764771,"6,417.9501 us",129.2458 us,153.8580 us,"6,350.8165 us","6,247.3056 us",155.81,-,97.52237%,0%,0.8182305%,8.281716%,25.71691%,10.70582%,3.899977%,8.411716%,-,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,OPObNpG5KBnBuHw3_-363034919,"6,400.4736 us",114.8250 us,101.7894 us,"6,374.7535 us","6,262.6875 us",156.24,-,97.58012%,0%,0.7194245%,8.608568%,24.92642%,10.65239%,4.136691%,8.371485%,-,-,-,1.42 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,c20a1a1a1a1sortBinding_-726806604,"6,734.1125 us",102.7217 us,91.0601 us,"6,745.3837 us","6,589.9255 us",148.5,-,97.79789%,0%,0.6917623%,7.955266%,23.65827%,10.21502%,4.21975%,8.312676%,-,-,-,1.44 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,c20a1a1a2a1sortBinding_-137429115,"6,730.9300 us",132.0417 us,157.1862 us,"6,697.9503 us","6,519.1314 us",148.57,-,97.62605%,0%,0.6974739%,7.989246%,23.55433%,10.21355%,4.063102%,7.923304%,31.4236,2.4306,-,1.44 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,c20a1a1a3a1sortBinding_616396650,"6,885.6113 us",137.2928 us,158.1065 us,"6,821.4270 us","6,702.3155 us",145.23,-,97.66878%,0%,0.62752%,7.751539%,23.60324%,10.60418%,3.728742%,7.696971%,20.9704,-,-,1.44 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,c51a1a1a1a1sortBinding_-334869324,"6,789.3972 us",135.0658 us,150.1253 us,"6,712.1904 us","6,616.4152 us",147.29,-,97.80595%,0%,0.6514834%,7.820492%,23.76837%,10.39143%,4.355785%,7.747806%,24.7396,-,-,1.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,c51a1a1a2a1sortBinding_947670223,"6,731.4917 us",142.9338 us,158.8705 us,"6,676.6326 us","6,580.6518 us",148.56,-,97.70121%,0%,0.7402002%,8.037949%,23.05567%,10.26897%,4.34216%,7.991035%,9.5881,-,-,1.44 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,c51a1a1a3a1sortBinding_951105898,"6,809.9971 us",134.9803 us,144.4274 us,"6,772.6631 us","6,628.0748 us",146.84,-,97.57572%,0%,0.6430454%,7.600798%,23.16893%,10.01865%,4.719954%,7.960903%,-,-,-,1.44 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,?,"5,025.4220 us",31.5484 us,27.9669 us,"5,025.0281 us","4,979.9521 us",198.99,-,97.14435%,36.77958%,0.979677%,7.764461%,21.61543%,0%,0%,10.43252%,-,-,-,1.2 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyGuid,DataPagerGoToFirstPage_-159537667,"2,115.0893 us",40.9988 us,60.0956 us,"2,084.5579 us","2,060.0973 us",472.79,-,94.18777%,0%,1.428225%,6.536645%,22.72199%,9.555421%,4.321017%,22.50273%,5.9375,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyGuid,DataPagerGoToLastPage_1956497473,"2,126.5555 us",42.2473 us,61.9256 us,"2,087.7720 us","2,074.0854 us",470.24,-,94.23119%,0%,1.547616%,6.323491%,22.15954%,9.495926%,4.646412%,23.05984%,5.9375,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyGuid,DataPagerGoToNextPage_-787142864,"2,139.7126 us",42.9377 us,45.9429 us,"2,119.8993 us","2,104.9559 us",467.35,-,93.40002%,0%,1.506917%,6.185745%,22.35337%,9.393425%,4.476906%,22.50568%,5.9766,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyGuid,DataPagerGoToPrevPage_-1508803084,"2,136.3237 us",42.5456 us,76.7185 us,"2,099.5171 us","2,079.8430 us",468.09,-,93.28084%,0%,1.53557%,6.024527%,21.88931%,9.377564%,4.764907%,22.5887%,6.4844,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyGuid,c17a1a1a1a1sortBinding_-1348959239,"2,160.3331 us",47.5553 us,68.2024 us,"2,127.1412 us","2,101.3001 us",462.89,-,93.38396%,0%,1.531417%,6.1361%,21.30304%,9.389056%,4.850452%,22.71737%,6.3281,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyGuid,c17a1a1a2a1sortBinding_1114034682,"2,132.1691 us",42.1185 us,41.3660 us,"2,116.9614 us","2,096.7364 us",469.01,-,94.42903%,0%,1.603607%,6.230669%,22.28614%,9.31005%,4.674999%,22.3763%,6.5625,-,-,0.46 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyGuid,c17a1a1a3a1sortBinding_1259104123,"2,163.4123 us",40.0597 us,37.4719 us,"2,141.5604 us","2,114.2272 us",462.23,-,93.45475%,0%,1.448392%,6.179567%,21.87287%,9.316555%,4.819608%,22.50027%,5.6641,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyGuid,c17a1a1a4a1sortBinding_-230807172,"2,126.4964 us",55.2554 us,48.9824 us,"2,103.3590 us","2,088.6710 us",470.26,-,93.3395%,0%,1.496122%,6.173003%,21.86547%,9.290123%,4.747725%,22.43702%,6.8750,-,-,0.45 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyGuid,?,"2,934.4793 us",15.4582 us,13.7032 us,"2,931.0381 us","2,918.6047 us",340.78,-,94.56767%,27.59718%,0.9897615%,3.66237%,13.1358%,0%,0%,5.64568%,7.1875,-,-,0.49 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyString,DataPagerGoToFirstPage_2017799765,"2,072.8503 us",40.4084 us,39.6865 us,"2,057.0450 us","2,037.0231 us",482.43,-,92.81187%,0%,1.454283%,6.308109%,22.26421%,9.159498%,4.364093%,22.5849%,5.6250,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyString,DataPagerGoToLastPage_1371568145,"2,103.3096 us",40.4025 us,49.6179 us,"2,104.8657 us","2,039.6301 us",475.44,-,100%,0%,1.585245%,6.733284%,23.50728%,9.690352%,5.247964%,24.33876%,6.2500,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyString,DataPagerGoToNextPage_-1538652666,"2,124.6460 us",42.3318 us,87.4225 us,"2,079.5522 us","2,049.6706 us",470.67,-,92.88784%,0%,1.416634%,6.18202%,21.79398%,9.427423%,4.475505%,22.50356%,6.5625,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyString,DataPagerGoToPrevPage_-1681835006,"2,072.4144 us",41.4273 us,60.7236 us,"2,040.9197 us","2,018.7844 us",482.53,-,93.66258%,0%,1.447473%,6.1606%,22.4657%,9.078715%,4.444851%,22.61813%,5.1563,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyString,c17a1a1a1a1sortBinding_-732254663,"2,092.3771 us",12.7417 us,9.9479 us,"2,090.3137 us","2,073.8338 us",477.93,-,93.71898%,0%,1.498492%,6.30899%,21.79381%,9.018926%,4.972268%,22.40805%,6.3672,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyString,c17a1a1a2a1sortBinding_-1220322092,"2,111.4408 us",66.4111 us,76.4791 us,"2,071.7621 us","2,054.6547 us",473.61,-,100%,0%,1.589568%,6.681155%,23.28469%,9.77212%,5.140018%,23.89568%,6.4063,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyString,c17a1a1a3a1sortBinding_-1974147857,"2,115.0238 us",47.0331 us,57.7609 us,"2,079.9511 us","2,068.7501 us",472.81,-,92.86447%,0%,1.454136%,6.165686%,21.54173%,8.849957%,5.118258%,22.24127%,5.7813,-,-,0.45 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyString,c17a1a1a4a1sortBinding_1281530546,"2,099.6036 us",40.4007 us,43.2283 us,"2,076.7045 us","2,063.2776 us",476.28,-,100%,0%,1.621047%,6.535433%,23.2221%,9.606299%,5.446819%,24.08074%,5.9375,-,-,0.45 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingPrimaryKeyString,?,"2,946.8398 us",44.4974 us,41.6229 us,"2,931.4193 us","2,904.6021 us",339.35,-,94.37325%,27.49876%,1.025589%,3.779155%,13.07562%,0%,0%,5.54276%,8.0859,-,-,0.49 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,DataPagerGoToFirstPage_448898857,"3,352.6975 us",23.8812 us,21.1701 us,"3,345.4055 us","3,330.1030 us",298.27,-,95.3663%,0%,1.078533%,4.298155%,15.35512%,6.231525%,2.532556%,6.159623%,-,-,-,0.55 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,DataPagerGoToLastPage_-1757683803,"3,420.6883 us",64.9919 us,69.5406 us,"3,412.9536 us","3,339.5465 us",292.34,-,95.34676%,0%,0.9669532%,3.764078%,14.78957%,6.783491%,2.819354%,5.864701%,-,-,-,0.55 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,DataPagerGoToNextPage_-1530231788,"3,396.7120 us",53.3963 us,47.3344 us,"3,390.8052 us","3,333.3115 us",294.4,-,95.25282%,0%,1.056473%,4.107732%,14.45004%,6.192876%,2.919201%,5.939183%,-,-,-,0.55 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,DataPagerGoToPrevPage_223226916,"3,381.8868 us",64.8245 us,60.6369 us,"3,348.3658 us","3,309.6555 us",295.69,-,95.32855%,0%,1.009179%,4.068679%,15.56692%,6.306224%,2.808347%,6.055071%,-,-,-,0.55 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,c17a1a1a1a1sortBinding_-814913843,"3,722.7825 us",74.4256 us,73.0958 us,"3,684.5247 us","3,654.4897 us",268.62,-,95.76482%,0%,0.9527539%,3.716393%,13.91608%,5.654529%,2.841947%,5.625163%,0.2441,-,-,0.56 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,c17a1a1a2a1sortBinding_-997114294,"3,743.9681 us",70.9777 us,78.8916 us,"3,703.7973 us","3,655.3066 us",267.1,-,95.74632%,0%,0.8938892%,3.560145%,13.53934%,5.956693%,2.843492%,5.73322%,-,-,-,0.57 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,c17a1a1a3a1sortBinding_-822368693,"3,937.9457 us",82.7251 us,242.6184 us,"3,891.8492 us","3,666.4518 us",253.94,-,95.7378%,0%,0.7877339%,4.051203%,14.07371%,5.570404%,3.291602%,5.260937%,-,-,-,0.57 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,c17a1a1a4a1sortBinding_455579856,"3,756.1079 us",73.9105 us,85.1154 us,"3,745.2107 us","3,653.9118 us",266.23,-,95.75306%,0%,1.012516%,4.190691%,13.64084%,6.004781%,2.573478%,5.512586%,-,-,-,0.57 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,c17a1a1a5a1sortBinding_1588051665,"3,748.5073 us",73.9985 us,65.5977 us,"3,759.9633 us","3,637.9435 us",266.77,-,95.53439%,0%,0.931217%,3.767196%,13.53792%,5.636684%,2.758377%,5.862434%,-,-,-,0.57 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditingValidation,?,"3,078.8213 us",19.8631 us,16.5866 us,"3,077.0820 us","3,059.7453 us",324.8,-,100%,30.28468%,1.085138%,3.976373%,14.51835%,0%,0%,6.996403%,10.3871,-,-,0.56 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,48Gz4awC02jznr_401047782,"5,436.7609 us",105.7228 us,154.9671 us,"5,388.2306 us","5,257.5102 us",183.93,-,96.86148%,0%,1.346341%,4.6217%,24.49016%,13.7415%,3.822725%,10.66478%,2.8409,-,-,1.06 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,DataPagerGoToFirstPage_-1861173783,"4,934.2626 us",95.4560 us,89.2896 us,"4,898.4456 us","4,842.7194 us",202.66,-,96.89361%,0%,1.121477%,5.299722%,26.51846%,14.93648%,4.416435%,11.6713%,-,-,-,1.03 MB
