Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Url,SerializedViewModel,Mean,Error,StdDev,Median,Min,Op/s,ETW log file,ProcessRequest,WriteHtmlResponse,BuildView,BindableObject.GetValue,Lifecycle events,Deserialize,ResolveCommand,Serialize,Gen 0,Gen 1,Gen 2,Allocated
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/ComboBox/ComboBoxDelaySync,8Dskt4Da7B21Ngu_383293868,546.1628 us,7.5616 us,7.0731 us,546.6262 us,536.1224 us,1830.96,-,89.17905%,0%,10.8904%,1.653007%,2.083623%,20.79455%,4.820114%,13.55744%,-,-,-,0.08 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/ComboBox/ComboBoxDelaySync,?,471.7116 us,6.0232 us,5.6341 us,470.2464 us,461.3214 us,2119.94,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.09 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/ContentPlaceHolder/ContentPlaceHolderPage,?,393.0743 us,3.4428 us,3.0520 us,392.7348 us,389.4544 us,2544.05,-,72.75182%,39.57332%,11.30435%,2.1064%,2.716716%,0%,0%,9.851472%,-,-,-,0.06 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/ContentPlaceHolder/ContentPlaceHolderPage_ContentTest,?,401.7657 us,1.5730 us,1.3136 us,401.5410 us,398.7634 us,2489.01,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.06 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,9QIwkondDhQjs8ie_-1681846434,"2,098.3409 us",38.3704 us,32.0410 us,"2,084.7317 us","2,073.9229 us",476.57,-,95.21661%,0%,1.429925%,3.330835%,41.07747%,5.834264%,9.933101%,5.773447%,2.0313,-,-,0.3 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToFirstPage_-1723143100,"3,597.0299 us",239.0400 us,704.8149 us,"3,566.7632 us","2,096.3928 us",278.01,-,100%,0%,2.147434%,4.647001%,26.59662%,8.416555%,13.09242%,7.364006%,-,-,-,0.22 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToFirstPage_-1723143100,"2,657.7359 us",299.7360 us,879.0737 us,"2,624.4049 us","1,524.3031 us",376.26,-,100%,0%,2.141427%,4.87615%,27.04131%,8.024325%,13.529%,7.269727%,-,-,-,0.22 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToFirstPage_-1723143100,"3,222.7058 us",293.2241 us,864.5778 us,"3,192.0998 us","1,561.8086 us",310.3,-,93.86211%,0%,2.064925%,4.761272%,24.55914%,7.660511%,12.95461%,7.307824%,-,-,-,0.22 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToFirstPage_-1723143100,"2,943.5924 us",281.5654 us,830.2019 us,"2,834.8015 us","1,566.8203 us",339.72,-,100%,0%,2.208297%,5.214483%,26.7474%,8.202535%,13.60238%,7.26562%,-,-,-,0.22 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToLastPage_-168433820,"3,147.5773 us",290.5325 us,856.6416 us,"3,260.6183 us","1,596.7135 us",317.7,-,100%,0%,2.436015%,4.867192%,26.18172%,8.116019%,13.60008%,7.187091%,-,-,-,0.22 MB
